name,location,edition,restaurant_url,address,lat,lon
Popeyes Louisiana Kitchen,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/popeyes-editions-dul?day=today&geohash=gcpuwvtr0mk9&time=ASAP,"Units 3 & 4 Dulwich Business Centre, Dulwich, London, SE231AG",51.44282736,-0.048059682
Dishoom ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/dishoom-editions-dul?day=today&geohash=gcpuwvtr0mk9&time=ASAP,"Units 3 & 4 Dulwich Business Centre, London, SE231AG",51.44282736,-0.048059682
Bleecker Burger,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/bleecker-editions-bsy?day=today&geohash=gcpuwvtr0mk9&time=1630,"Unit 9, British Wharf, Landmann Way, London, SE145RS",51.4846234,-0.044459279
Popeyes Louisiana Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/popeyes-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Yacob's Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/jakobs-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Dishoom,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/dishoom-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 3&4, Galaxy, Crescent Court Business Centre, Canning Town, London, E164TG",51.52342482,1.34E-05
Remedy Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remedy-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
So Noodle,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/shu-la-la-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Hare & Tortoise ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/hare-and-tortoise-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Poke Shack ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/poke-shack-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"61 Assembly Passage, London, E14UT",51.5205841,-0.0516174
