,name,location,timestamps,timestamp_urls,restaurant_url
110,BEER and BURGER STORE - Whitechapel,whitechapel-editions,['20210514'],['https://web.archive.org/web/20210514/https://deliveroo.co.uk/restaurants/london/bank?tags=deliveroo+editions'],https://deliveroo.co.uk/menu/london/whitechapel-editions/beer-and-burger-editions-wme?day=today&geohash=gcpvjcwyhqpx&time=1230
111,Pleesecakes,whitechapel-editions,"['20210514', '20201022', '20210306']","['https://web.archive.org/web/20210514/https://deliveroo.co.uk/restaurants/london/bank?tags=deliveroo+editions', 'https://web.archive.org/web/20201022/https://deliveroo.co.uk/restaurants/london/stepney?tags=deliveroo+editions', 'https://web.archive.org/web/20210306/https://deliveroo.co.uk/restaurants/london/stepney?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/whitechapel-editions/stepney-pleesecakes-editions-wme?day=today&geohash=gcpvjcwyhqpx&time=1230
112,Halo Top Ice Cream,whitechapel-editions,['20210514'],['https://web.archive.org/web/20210514/https://deliveroo.co.uk/restaurants/london/bank?tags=deliveroo+editions'],https://deliveroo.co.uk/menu/london/whitechapel-editions/halo-top-editions-wme-new?day=today&geohash=gcpvjcwyhqpx&time=1230
113,Jude's Ice Cream,whitechapel-editions,"['20210514', '20201022', '20210306', '20220523']","['https://web.archive.org/web/20210514/https://deliveroo.co.uk/restaurants/london/bank?tags=deliveroo+editions', 'https://web.archive.org/web/20201022/https://deliveroo.co.uk/restaurants/london/stepney?tags=deliveroo+editions', 'https://web.archive.org/web/20210306/https://deliveroo.co.uk/restaurants/london/stepney?tags=deliveroo+editions', 'https://web.archive.org/web/20220523/https://deliveroo.co.uk/restaurants/london/whitechapel-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/whitechapel-editions/judes-ice-cream-editions-wme-new?day=today&geohash=gcpvjcwyhqpx&time=1230
114,The Great British Cheesecake Company,whitechapel-editions,"['20210514', '20201022', '20210306', '20220523']","['https://web.archive.org/web/20210514/https://deliveroo.co.uk/restaurants/london/bank?tags=deliveroo+editions', 'https://web.archive.org/web/20201022/https://deliveroo.co.uk/restaurants/london/stepney?tags=deliveroo+editions', 'https://web.archive.org/web/20210306/https://deliveroo.co.uk/restaurants/london/stepney?tags=deliveroo+editions', 'https://web.archive.org/web/20220523/https://deliveroo.co.uk/restaurants/london/whitechapel-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/whitechapel-editions/the-great-british-cheesecake-company-editions-wme?day=today&geohash=gcpvjcwyhqpx&time=1245
115,Unrooted Functional Shots,whitechapel-editions,['20210514'],['https://web.archive.org/web/20210514/https://deliveroo.co.uk/restaurants/london/bank?tags=deliveroo+editions'],https://deliveroo.co.uk/menu/london/whitechapel-editions/unrooted-drinks-editions-whi?day=today&geohash=gcpvjcwyhqpx&time=1245
116,Dishoom,wandsworth-editions,"['20220123', '20210731', '20210623']","['https://web.archive.org/web/20220123163352/https://deliveroo.co.uk/restaurants/london/barnes?tags=deliveroo+editions', 'https://web.archive.org/web/20210731041337/https://deliveroo.co.uk/restaurants/london/putney?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/wandsworth-editions/dishoom-editions-wnw?day=today&geohash=gcpufe108hdj&time=ASAP
117,Shake Shack – Burgers & Shakes,wandsworth-editions,"['20220123', '20210731', '20210623']","['https://web.archive.org/web/20220123163352/https://deliveroo.co.uk/restaurants/london/barnes?tags=deliveroo+editions', 'https://web.archive.org/web/20210731041337/https://deliveroo.co.uk/restaurants/london/putney?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/wandsworth-editions/shake-shack-editions-wnw?day=today&geohash=gcpufe108hdj&time=ASAP
118,Neat Burger,putney,"['20220123', '20210731']","['https://web.archive.org/web/20220123163352/https://deliveroo.co.uk/restaurants/london/barnes?tags=deliveroo+editions', 'https://web.archive.org/web/20210731041337/https://deliveroo.co.uk/restaurants/london/putney?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/putney/neat-burger-putney?day=today&geohash=gcpufe108hdj&time=ASAP
119,Camile Thai ,barnes,['20220123'],['https://web.archive.org/web/20220123163352/https://deliveroo.co.uk/restaurants/london/barnes?tags=deliveroo+editions'],https://deliveroo.co.uk/menu/london/barnes/camile-thai-barnes?day=today&geohash=gcpufe108hdj&time=ASAP
120,Shanghai Sally,barnes,['20220123'],['https://web.archive.org/web/20220123163352/https://deliveroo.co.uk/restaurants/london/barnes?tags=deliveroo+editions'],https://deliveroo.co.uk/menu/london/barnes/shanghai-sally-barnes?day=today&geohash=gcpufe108hdj&time=ASAP
121,Remedy Kitchen,battersea-york-road,"['20200922', '20210117', '20201023', '20210624', '20200920', '20220524', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20220524/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/remedy-kitchen-editions-byr?day=today&geohash=gcpugcwkyb25&time=ASAP
